dyad,proposer,responder,proposer_left,proposer_right,condition,type_trial,session,offer,offer_left,offer_right,experience_proposer
FSR,Sandra,Riet,Sandra,,cons_left,first,7,0.4375,0.4375,,3
RST,Riet,Sandra,Riet,,cons_left,first,3,0.75,0.75,,3
RST,Riet,Sandra,Riet,,cons_left,first,15,0.5,0.5,,3
RST,Tai,Sandra,Tai,,cons_left,first,5,0.1875,0.1875,,2
RST,Tai,Sandra,Tai,,cons_left,first,9,0.5625,0.5625,,2
SAT,Azibo,Tai,Azibo,,cons_left,first,1,0.125,0.125,,2
SAT,Azibo,Tai,Azibo,,cons_left,first,5,0.75,0.75,,2
SAT,Sandra,Tai,Sandra,,cons_left,first,7,0.375,0.375,,2
SAT,Sandra,Tai,Sandra,,cons_left,first,11,0.4375,0.4375,,2
TSF,Sandra,Frodo,Sandra,,cons_left,first,3,0.625,0.625,,1
TSF,Sandra,Frodo,Sandra,,cons_left,first,7,0.4375,0.4375,,1
TSF,Tai,Frodo,Tai,,cons_left,first,9,0.0625,0.0625,,1
TSF,Tai,Frodo,Tai,,cons_left,first,13,0.1875,0.1875,,1
AFT,Frodo,Azibo,,Frodo,cons_right,first,2,0.25,,0.25,2
AFT,Frodo,Azibo,,Frodo,cons_right,first,14,0.375,,0.375,2
AFT,Tai,Azibo,,Tai,cons_right,first,4,0.4375,,0.4375,3
AFT,Tai,Azibo,,Tai,cons_right,first,8,0.4375,,0.4375,3
ARD,Azibo,Dorien,,Azibo,cons_right,first,12,0.9375,,0.9375,1
ARD,Riet,Dorien,,Riet,cons_right,first,2,0,,0,1
ARD,Riet,Dorien,,Riet,cons_right,first,6,0.0625,,0.0625,1
FRS,Frodo,Shanga,,Frodo,cons_right,first,4,0.375,,0.375,1
FRS,Frodo,Shanga,,Frodo,cons_right,first,16,0.3125,,0.3125,1
FRS,Riet,Shanga,,Riet,cons_right,first,6,0,,0,2
FRS,Riet,Shanga,,Riet,cons_right,first,10,0.6875,,0.6875,2
