dyad,proposer,responder,condition,session,offer,experience
ARD,Azibo,Dorien,triadic,2,0.234375,1
ARD,Azibo,Dorien,triadic,6,0.28125,1
ARD,Azibo,Dorien,triadic,10,0.4375,1
ARD,Azibo,Dorien,triadic,14,0.546875,1
ARD,Riet,Dorien,triadic,4,0.203125,1
ARD,Riet,Dorien,triadic,8,0.46875,1
ARD,Riet,Dorien,triadic,12,0.171875,1
FRS,Frodo,Shanga,triadic,2,0.78125,1
FRS,Frodo,Shanga,triadic,6,0.515625,1
FRS,Frodo,Shanga,triadic,10,0.546875,1
FRS,Frodo,Shanga,triadic,14,0.25,1
FRS,Riet,Shanga,triadic,4,0.375,2
FRS,Riet,Shanga,triadic,8,0.3125,2
FRS,Riet,Shanga,triadic,12,0.3125,2
FRS,Riet,Shanga,triadic,16,0.171875,2
FSR,Frodo,Riet,triadic,1,0.53125,3
FSR,Frodo,Riet,triadic,5,0.5625,3
FSR,Frodo,Riet,triadic,9,0.5625,3
FSR,Frodo,Riet,triadic,13,0.671875,3
FSR,Sandra,Riet,triadic,3,0.328125,3
FSR,Sandra,Riet,triadic,7,0.4375,3
FSR,Sandra,Riet,triadic,11,0.375,3
FSR,Sandra,Riet,triadic,15,0.28125,3
RST,Riet,Sandra,triadic,3,0.4375,3
RST,Riet,Sandra,triadic,7,0.390625,3
RST,Riet,Sandra,triadic,11,0.328125,3
RST,Riet,Sandra,triadic,15,0.671875,3
RST,Tai,Sandra,triadic,1,0.109375,2
RST,Tai,Sandra,triadic,5,0.4375,2
RST,Tai,Sandra,triadic,9,0.484375,2
RST,Tai,Sandra,triadic,13,0.359375,2
SAT,Azibo,Tai,triadic,1,0.25,2
SAT,Azibo,Tai,triadic,5,0.609375,2
SAT,Azibo,Tai,triadic,9,0.546875,2
SAT,Azibo,Tai,triadic,13,0.578125,2
SAT,Sandra,Tai,triadic,3,0.3125,2
SAT,Sandra,Tai,triadic,7,0.421875,2
SAT,Sandra,Tai,triadic,11,0.453125,2
SAT,Sandra,Tai,triadic,15,0.359375,2
TSF,Sandra,Frodo,triadic,3,0.28125,1
TSF,Sandra,Frodo,triadic,7,0.296875,1
TSF,Sandra,Frodo,triadic,11,0.265625,1
TSF,Sandra,Frodo,triadic,15,0.375,1
TSF,Tai,Frodo,triadic,1,0.1875,1
TSF,Tai,Frodo,triadic,5,0.046875,1
TSF,Tai,Frodo,triadic,9,0.171875,1
TSF,Tai,Frodo,triadic,13,0.3125,1
AFT,Frodo,Azibo,triadic,2,0.171875,2
AFT,Frodo,Azibo,triadic,6,0.125,2
AFT,Frodo,Azibo,triadic,10,0.203125,2
AFT,Frodo,Azibo,triadic,14,0.34375,2
AFT,Tai,Azibo,triadic,4,0.296875,3
AFT,Tai,Azibo,triadic,8,0.484375,3
AFT,Tai,Azibo,triadic,12,0.34375,3
AFT,Tai,Azibo,triadic,16,0.390625,3
ARD,Azibo,Dorien,triadic,4,0.8125,1
ARD,Azibo,Dorien,triadic,8,0.65625,1
ARD,Azibo,Dorien,triadic,12,0.8125,1
ARD,Riet,Dorien,triadic,2,0,1
ARD,Riet,Dorien,triadic,6,0.265625,1
ARD,Riet,Dorien,triadic,10,0.25,1
ARD,Riet,Dorien,triadic,14,0.390625,1
FRS,Frodo,Shanga,triadic,4,0.59375,1
FRS,Frodo,Shanga,triadic,8,0.34375,1
FRS,Frodo,Shanga,triadic,12,0.21875,1
FRS,Frodo,Shanga,triadic,16,0.203125,1
FRS,Riet,Shanga,triadic,2,0.15625,2
FRS,Riet,Shanga,triadic,6,0,2
FRS,Riet,Shanga,triadic,10,0.671875,2
FRS,Riet,Shanga,triadic,14,0.109375,2
FSR,Frodo,Riet,triadic,3,0.5,3
FSR,Frodo,Riet,triadic,7,0.046875,3
FSR,Frodo,Riet,triadic,11,0.25,3
FSR,Frodo,Riet,triadic,15,0.171875,3
FSR,Sandra,Riet,triadic,1,0.4375,3
FSR,Sandra,Riet,triadic,5,0.390625,3
FSR,Sandra,Riet,triadic,9,0.359375,3
FSR,Sandra,Riet,triadic,13,0.546875,3
RST,Riet,Sandra,triadic,1,0.453125,3
RST,Riet,Sandra,triadic,5,0.53125,3
RST,Riet,Sandra,triadic,9,0.296875,3
RST,Riet,Sandra,triadic,13,0.484375,3
RST,Tai,Sandra,triadic,3,0.171875,2
RST,Tai,Sandra,triadic,7,0.328125,2
RST,Tai,Sandra,triadic,11,0.3125,2
RST,Tai,Sandra,triadic,15,0.375,2
SAT,Azibo,Tai,triadic,3,0.1875,2
SAT,Azibo,Tai,triadic,7,0.4375,2
SAT,Azibo,Tai,triadic,11,0.4375,2
SAT,Azibo,Tai,triadic,15,0.34375,2
SAT,Sandra,Tai,triadic,1,0.421875,2
SAT,Sandra,Tai,triadic,5,0.46875,2
SAT,Sandra,Tai,triadic,9,0.515625,2
SAT,Sandra,Tai,triadic,13,0.484375,2
TSF,Sandra,Frodo,triadic,1,0.1875,1
TSF,Sandra,Frodo,triadic,5,0.234375,1
TSF,Sandra,Frodo,triadic,9,0.234375,1
TSF,Sandra,Frodo,triadic,13,0.25,1
TSF,Tai,Frodo,triadic,3,0.015625,1
TSF,Tai,Frodo,triadic,7,0.09375,1
TSF,Tai,Frodo,triadic,11,0.140625,1
TSF,Tai,Frodo,triadic,15,0.078125,1
