dyad,proposer,responder,condition,type_trial,session,offer,experience
RST,Riet,Sandra,simultaneous,simultaneous,15,0.65625,3
RST,Tai,Sandra,simultaneous,simultaneous,1,0.03125,2
RST,Tai,Sandra,simultaneous,simultaneous,5,0.5625,2
RST,Tai,Sandra,simultaneous,simultaneous,9,0.28125,2
RST,Tai,Sandra,simultaneous,simultaneous,13,0.34375,2
SAT,Azibo,Tai,simultaneous,simultaneous,1,0.3125,2
SAT,Azibo,Tai,simultaneous,simultaneous,5,0.65625,2
SAT,Azibo,Tai,simultaneous,simultaneous,9,0.59375,2
SAT,Azibo,Tai,simultaneous,simultaneous,13,0.59375,2
SAT,Sandra,Tai,simultaneous,simultaneous,3,0.28125,2
SAT,Sandra,Tai,simultaneous,simultaneous,7,0.46875,2
SAT,Sandra,Tai,simultaneous,simultaneous,11,0.46875,2
SAT,Sandra,Tai,simultaneous,simultaneous,15,0.34375,2
TSF,Sandra,Frodo,simultaneous,simultaneous,3,0.1875,1
TSF,Sandra,Frodo,simultaneous,simultaneous,7,0.34375,1
TSF,Sandra,Frodo,simultaneous,simultaneous,11,0.1875,1
TSF,Sandra,Frodo,simultaneous,simultaneous,15,0.3125,1
TSF,Tai,Frodo,simultaneous,simultaneous,1,0,1
TSF,Tai,Frodo,simultaneous,simultaneous,5,0.0625,1
TSF,Tai,Frodo,simultaneous,simultaneous,9,0.28125,1
TSF,Tai,Frodo,simultaneous,simultaneous,13,0.34375,1
AFT,Frodo,Azibo,consecutive,first,4,0.375,2
AFT,Frodo,Azibo,consecutive,first,8,0.25,2
AFT,Frodo,Azibo,consecutive,first,12,0.6875,2
AFT,Frodo,Azibo,consecutive,first,16,0.75,2
AFT,Tai,Azibo,consecutive,first,2,0.25,3
AFT,Tai,Azibo,consecutive,first,6,0.375,3
AFT,Tai,Azibo,consecutive,first,10,0.0625,3
AFT,Tai,Azibo,consecutive,first,14,0,3
ARD,Azibo,Dorien,consecutive,first,2,0.0625,1
ARD,Azibo,Dorien,consecutive,first,6,0,1
ARD,Azibo,Dorien,consecutive,first,10,0.5,1
ARD,Azibo,Dorien,consecutive,first,14,0.6875,1
ARD,Riet,Dorien,consecutive,first,4,0.25,1
ARD,Riet,Dorien,consecutive,first,8,0.5,1
ARD,Riet,Dorien,consecutive,first,12,0.0625,1
FRS,Frodo,Shanga,consecutive,first,2,0.875,1
FRS,Frodo,Shanga,consecutive,first,6,0.375,1
FRS,Frodo,Shanga,consecutive,first,10,0.4375,1
FRS,Frodo,Shanga,consecutive,first,14,0.4375,1
FRS,Riet,Shanga,consecutive,first,4,0.625,2
FRS,Riet,Shanga,consecutive,first,8,0.375,2
FRS,Riet,Shanga,consecutive,first,12,0,2
FRS,Riet,Shanga,consecutive,first,16,0,2
FSR,Frodo,Riet,consecutive,first,1,0.5,3
FSR,Frodo,Riet,consecutive,first,5,0.625,3
FSR,Frodo,Riet,consecutive,first,9,0.625,3
FSR,Frodo,Riet,consecutive,first,13,0.6875,3
FSR,Sandra,Riet,consecutive,first,3,0.375,3
FSR,Sandra,Riet,consecutive,first,7,0.4375,3
FSR,Sandra,Riet,consecutive,first,11,0.3125,3
FSR,Sandra,Riet,consecutive,first,15,0.1875,3
RST,Riet,Sandra,consecutive,first,3,0.75,3
RST,Riet,Sandra,consecutive,first,7,0.5625,3
RST,Riet,Sandra,consecutive,first,11,0.625,3
RST,Riet,Sandra,consecutive,first,15,0.5,3
RST,Tai,Sandra,consecutive,first,1,0.1875,2
RST,Tai,Sandra,consecutive,first,5,0.1875,2
RST,Tai,Sandra,consecutive,first,9,0.5625,2
RST,Tai,Sandra,consecutive,first,13,0.25,2
SAT,Azibo,Tai,consecutive,first,1,0.125,2
SAT,Azibo,Tai,consecutive,first,5,0.75,2
SAT,Azibo,Tai,consecutive,first,9,0.5625,2
SAT,Azibo,Tai,consecutive,first,13,0.5625,2
SAT,Sandra,Tai,consecutive,first,3,0.375,2
SAT,Sandra,Tai,consecutive,first,7,0.375,2
SAT,Sandra,Tai,consecutive,first,11,0.4375,2
SAT,Sandra,Tai,consecutive,first,15,0.3125,2
TSF,Sandra,Frodo,consecutive,first,3,0.625,1
TSF,Sandra,Frodo,consecutive,first,7,0.4375,1
